,long,short,long_short,original,long_ret,short_ret,long_short_ret,rsj
2018-11-23,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,-1.0
2018-11-26,0.9987259503672973,1.0,0.9987259503672973,0.9987259503672973,-0.0012740496327027229,0.0,-0.0012740496327027229,-0.07744961963567266
2018-11-27,1.0119981788103398,1.0,1.0119981788103398,1.0119981788103398,0.013289159491812086,-0.0,0.013289159491812086,-0.13133267195683462
2018-11-28,1.0119981788103398,1.0129849874766141,1.0251389624885483,0.9988573951321313,0.0,0.01298498747661403,0.01298498747661403,0.28143699742743217
2018-11-29,1.0232983934079727,1.0129849874766141,1.0365859102312143,1.0100108765847309,0.011166240052839616,-0.0,0.011166240052839616,-0.43270835515960615
2018-11-30,1.0232983934079727,0.9848050336860819,1.0077494087910517,1.0381080943934498,-0.0,-0.027818727956403055,-0.027818727956403055,0.7067778320150683
2018-12-03,1.0254194870789408,0.9848050336860819,1.0098382725151407,1.0402598856236358,0.002072800743783132,-0.0,0.002072800743783132,-0.012609264351729021
2018-12-04,1.0254194870789408,0.9895382442043525,1.0146917988170225,1.0352601457117272,0.0,0.004806241191268601,0.004806241191268601,0.7227660103015409
2018-12-05,1.0254194870789408,1.010938990041961,1.0366365406369298,1.0128705722071716,0.0,0.02162700225377956,0.02162700225377956,0.42937079337079453
2018-12-06,1.0253845509078134,1.010938990041961,1.0366012222993743,1.0128360635791551,-3.407012599965231e-05,0.0,-3.407012599965231e-05,-0.1606898086919018
2018-12-07,1.0253845509078134,1.0226326300963005,1.048591700154971,1.0011204798711242,0.0,0.011567107579710911,0.011567107579710911,0.23960274077255553
2018-12-10,1.0253845509078134,1.0177377042460671,1.0435725188103024,1.0059124358207967,-0.0,-0.004786592668935663,-0.004786592668935663,0.09471668812089933
2018-12-11,1.0253845509078134,1.014261283203736,1.0400078503810455,1.0093484637325467,-0.0,-0.003415832024132648,-0.003415832024132648,0.8024401950817702
2018-12-12,1.0253845509078134,0.9985598245011796,1.023907817200727,1.0249738686279457,-0.0,-0.015480684279853829,-0.015480684279853829,0.3587795843733637
2018-12-13,1.0082566043919758,0.9985598245011796,1.0068045379338066,1.0078527821180623,-0.016703924884252985,0.0,-0.016703924884252985,-0.5053329004110749
2018-12-14,1.006755227928701,0.9985598245011796,1.005305323716129,1.0063520069791476,-0.0014890817047313876,0.0,-0.0014890817047313876,-0.698014368011232
2018-12-17,1.006755227928701,1.0089112544960388,1.0157266799799913,0.9959198004204326,0.0,0.01036635937163799,0.01036635937163799,0.3658330301229927
2018-12-18,1.006755227928701,1.020940751977906,1.0278374394592162,0.9840452032465874,0.0,0.011923246398788612,0.011923246398788612,0.5312066957531048
2018-12-19,0.9990335236508028,1.020940751977906,1.0199540368871878,0.9764976824145499,-0.007669892406503731,0.0,-0.007669892406503731,-0.6748119706838077
2018-12-20,0.9866501228716176,1.020940751977906,1.0073113183836426,0.9643936219651114,-0.012395380621395113,0.0,-0.012395380621395113,-0.12922940511524203
2018-12-21,0.9866501228716176,1.0179740404256024,1.0043842120660378,0.967196015437709,-0.0,-0.0029058606452490032,-0.0029058606452490032,0.31010741019340965
2018-12-24,0.9866501228716176,1.0249823246497176,1.0112989365568803,0.9605373146187911,0.0,0.006884541202234362,0.006884541202234362,0.7954062490466147
2018-12-25,0.9866501228716176,1.030162401640253,1.0164098601560767,0.9556829311603173,0.0,0.005053820798622821,0.005053820798622821,0.5307832276766941
2018-12-26,0.9866501228716176,1.0341179488278993,1.0203126012747923,0.9520133651534297,0.0,0.00383973165915219,0.00383973165915219,0.4995648461413353
2018-12-27,0.9932974695095473,1.0341179488278993,1.0271867417451561,0.9584273539579903,0.006737288613092973,-0.0,0.006737288613092973,-0.045113491186887504
2018-12-28,0.9797314108502135,1.0341179488278993,1.0131578369906868,0.9453375373586144,-0.013657599133955478,0.0,-0.013657599133955478,-0.18848584394134643
2019-01-02,,,,,,,,0.47399260476708616
